title,title_matched,authors,authors_matched,date,date_matched,isbn,isbn_matched,pages,pages_matched,description,description_matched,publisher,publisher_matched,keywords,keywords_matched,binding,barcode,value,status,image,percent,source
Priestcraft: A Study of the Exploitation of the Religious Sentiment,Priestcraft,C.R. Boyd Freeman,C. R. Boyd Freeman,1929,1928,,MINN:31951001867793P,184,198,,,The Pioneer Press,,Catholocism,,Hardback,103138,,Reference,http://books.google.com/books/content?id=X00TAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.53,GoogleBooks
The Illustrated Story of Evolution,The Illustrated Story of Evolution,Marshall J Gauvin,Marshall J. Gauvin,1921,1921,,NYPL:33433010808784,119,136,,,Peter Eckler,,Evolution,Evolution,Hardback,101330,,Reference,http://books.google.com/books/content?id=WwItAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.53,GoogleBooks
Pleasant Ways in Science,Pleasant Ways in Science,Richard A Proctor,Richard A. Proctor,1895,2021-05-20,,EAN:4064066182984,402,437,,"In ""Pleasant Ways in Science,"" Richard A. Proctor invites readers into a captivating exploration of scientific ideas through a lens of accessibility and wonder. Proctor employs an engaging literary style, peppered with anecdotal narratives and vivid imagery, which makes complex scientific concepts approachable for a lay audience. Set against the backdrop of the late 19th century, a period marked by rapid advancements in science and technology, Proctor's work reflects the burgeoning enthusiasm for scientific inquiry that characterized the era, emphasizing how science can enhance everyday life and foster a sense of appreciation for nature and the universe. Richard A. Proctor (1837-1888) was an esteemed British astronomer and science writer known for his popularization of astronomy and his fervent advocacy for public engagement with science. Proctor's background as a lecturer and writer, coupled with his own experiences in the field, compelled him to articulate the wonders of science in an enjoyable and enlightening manner. His commitment to demystifying science stemmed from a desire to inspire curiosity and a deeper understanding of the world among everyday readers. ""Pleasant Ways in Science"" is a must-read for those who seek to rekindle their sense of childlike wonder about the natural world. Proctor's ability to weave scientific facts with relatable narratives will not only broaden your understanding of various scientific topics but also inspire a lifelong passion for discovery. Whether you are a student, educator, or simply a curious mind, this book promises to enrich your appreciation for the sciences.",Longmans Green,Good Press,Science,Science,Hardback,102785,,Reference,http://books.google.com/books/content?id=ihnEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.53,GoogleBooks
Renascent Rationalism,Renascent Rationalism,Helier J Robinson,Helier J. Robinson,2000,1975,,UCAL:B4411063,328,312,,"“Renascent Rationalism represents a new and provocative departure from the mostly barren currents of twentieth-century philosophy. The author, enlisting the aid of theoretical science, leads off from the tradition of Plato, Descartes, Spinoza, Leibniz, and Russell and then steps well beyond. The result is a single, integrated philosophical system resting in direct opposition to the contemporary positions of analysis, empiricism, pragmatism, existentialism, and phenomenology.There are four major effects of Helier Robinson’s acceptance of the Leibniz-Russell theory of perception as his base: all the philosophic problems of perception are solved; a whole new philosophy of science develops; an entirely new theory of mind emerges; and some startling theological and ethical consequences ensue. The art of metaphysical speculation is thus revived.Renascent Rationalism offers a clear, if controversial, alternative to the dominating influence of Hume and Kant and the resulting blind alleys of much modern philosophizing.”- Publisher",Speedside Publishing,Macmillan of Canada : Maclean-Hunter Press,Philosophy,Mind and body,Paperback,102443,21,Lending,http://books.google.com/books/content?id=-vaeAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.53,GoogleBooks
The Apocrypha: According to the authorized version,The Apocrypha according to the authorized version,Bible,Bible,,1953,,RUTGERS:39030010661595,,344,Hebrew Bible,,Oxford University Press,,Bible,,,106260,,Reference,http://books.google.com/books/content?id=aE0Ay_si8QkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.5,GoogleBooks
The Expressions of the Emotions in Man and Animals,The Expression of The Emotions in Man and Animals,Charles Darwin,Charles Darwin,1948,2025-01-16,,,179,9,,"The Expression of The Emotions in Man and Animals by Charles Darwin offers groundbreaking insights into the link between emotions and human behavior, proposing that emotional expressions are not solely a human phenomenon but are shared with animals as part of the evolutionary process. First published in 1872, this work explores how emotions manifest through facial expressions, body language, and vocalizations, asserting that these expressions are universal across species and are evolutionary traits inherited over time. Darwin begins by examining how emotions such as joy, anger, fear, and surprise are expressed through specific physical movements, gestures, and facial expressions. His detailed observations argue that these emotional expressions are not learned behaviors, but rather, are instinctive responses that have evolved for survival purposes. He connects emotional expressions to evolutionary advantages, such as signaling danger or forming social bonds, which were essential for the survival of early humans and animals. In addition to humans, Darwin closely studies the emotional behaviors of various animals, highlighting how similar patterns emerge in both human and animal behavior. He suggests that these expressions were inherited through evolutionary descent from a common ancestor, further reinforcing his theory of evolution by natural selection. Through this comprehensive study, Darwin not only deepens our understanding of human psychology and emotional expression but also emphasizes the continuity of life across species. His analysis of the facial muscles involved in expression, along with his observations of the emotional responses of different species, presents a compelling argument for the biological basis of emotion. This classic work remains influential in both psychology and evolutionary biology, serving as a precursor to modern research in emotional intelligence and nonverbal communication. By connecting emotions to evolution, Darwin changed the way we perceive human behavior, offering a more holistic understanding of emotional expression. Why Read This Book? The Expression of the Emotions in Man and Animals is essential for anyone interested in psychology, evolutionary biology, or the science of human behavior. Darwin's insights into the biological roots of emotion continue to shape modern studies in human expression, body language, and communication. Readers interested in understanding the universality of human emotions and their evolutionary origins will find this book an invaluable resource. Whether you’re a student of psychology, biology, or philosophy, Darwin’s work invites a deeper exploration into the way emotions connect us to the animal kingdom, urging us to reconsider the complexity of our shared nature. This book is an essential read for those seeking a deeper understanding of the scientific basis of emotions and how they influence behavior.",Watts & Co.,Namaskar Books,Biology,Science,Hardback,101007,,Lending,http://books.google.com/books/content?id=D9w-EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.5,GoogleBooks
The Expressions of the Emotions in Man and Animals,The Expression of The Emotions in Man and Animals,Charles Darwin,Charles Darwin,1934,2025-01-16,,,179,9,,"The Expression of The Emotions in Man and Animals by Charles Darwin offers groundbreaking insights into the link between emotions and human behavior, proposing that emotional expressions are not solely a human phenomenon but are shared with animals as part of the evolutionary process. First published in 1872, this work explores how emotions manifest through facial expressions, body language, and vocalizations, asserting that these expressions are universal across species and are evolutionary traits inherited over time. Darwin begins by examining how emotions such as joy, anger, fear, and surprise are expressed through specific physical movements, gestures, and facial expressions. His detailed observations argue that these emotional expressions are not learned behaviors, but rather, are instinctive responses that have evolved for survival purposes. He connects emotional expressions to evolutionary advantages, such as signaling danger or forming social bonds, which were essential for the survival of early humans and animals. In addition to humans, Darwin closely studies the emotional behaviors of various animals, highlighting how similar patterns emerge in both human and animal behavior. He suggests that these expressions were inherited through evolutionary descent from a common ancestor, further reinforcing his theory of evolution by natural selection. Through this comprehensive study, Darwin not only deepens our understanding of human psychology and emotional expression but also emphasizes the continuity of life across species. His analysis of the facial muscles involved in expression, along with his observations of the emotional responses of different species, presents a compelling argument for the biological basis of emotion. This classic work remains influential in both psychology and evolutionary biology, serving as a precursor to modern research in emotional intelligence and nonverbal communication. By connecting emotions to evolution, Darwin changed the way we perceive human behavior, offering a more holistic understanding of emotional expression. Why Read This Book? The Expression of the Emotions in Man and Animals is essential for anyone interested in psychology, evolutionary biology, or the science of human behavior. Darwin's insights into the biological roots of emotion continue to shape modern studies in human expression, body language, and communication. Readers interested in understanding the universality of human emotions and their evolutionary origins will find this book an invaluable resource. Whether you’re a student of psychology, biology, or philosophy, Darwin’s work invites a deeper exploration into the way emotions connect us to the animal kingdom, urging us to reconsider the complexity of our shared nature. This book is an essential read for those seeking a deeper understanding of the scientific basis of emotions and how they influence behavior.",Watts & Co.,Namaskar Books,Biology,Science,Hardback,101014,,Reference,http://books.google.com/books/content?id=D9w-EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.5,GoogleBooks
"Opinions, Random Reflections and Wayside Sayings","Opinions, Random Reflections, and Wayside Sayings",Chapman Cohen,Chapman Cohen,1954,1910,,WISC:89037814308,142,152,,,Pioneer Press,,Freethought,Free thought,Hardback,100878,,Lending,http://books.google.com/books/content?id=YeAHTNAdnj4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
"Opinions, Random Reflections and Wayside Sayings","Opinions, Random Reflections, and Wayside Sayings",Chapman Cohen,Chapman Cohen,1954,1910,,WISC:89037814308,142,152,,,Pioneer Press,,Freethought,Free thought,Hardback,100881,,Reference,http://books.google.com/books/content?id=YeAHTNAdnj4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
Christ in Flanders,Christ in Flanders,Honore de Balzac,Honoré de Balzac,1908,1908,,LCCN:a10002421,,361,,,J M Dent & Co,,Fiction,Nile River,,106216,,Lending,,98.44,GoogleBooks
The Medieval Inquisition,The Medieval Inquisition,Charles T Gorham,Charles T. Gorham,1918,2015-07-19,,"1331808154, 9781331808152",120,132,,"Excerpt from The Medieval Inquisition: A Study in Religious Persecution Although it has been said of human nature that the more it changes the more it is the same thing, it is yet true that at different epochs it is actuated by widely different ideas. The underlying passions are the same, but the forces evoking them vary so greatly that sometimes, as in considering the history of the Middle Ages, we seem to be concerned with beings from another planet. One of the most powerful of these forces is religion; and, though religion in the abstract is assumed to bring out all that is best in human nature, it has in the past only too frequently appealed to and stimulated its baser elements. The evil is due partly to erroneous religious teaching, but probably still more to the obstinate imperfection of the material on which religion has to work. The vast majority of human beings are even now incapable of appreciating and practising an absolutely pure religion, and probably no such religion has ever yet had a fair trial. Dogmatic systems there have been in abundance, but these are not to be identified with religion. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Watts & Co,,Religious Violence,Religion,Paperback,101385,,Lending,http://books.google.com/books/content?id=BS8bswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
The Medieval Inquisition,The Medieval Inquisition,Charles T Gorham,Charles T. Gorham,1918,2015-07-19,,"1331808154, 9781331808152",120,132,,"Excerpt from The Medieval Inquisition: A Study in Religious Persecution Although it has been said of human nature that the more it changes the more it is the same thing, it is yet true that at different epochs it is actuated by widely different ideas. The underlying passions are the same, but the forces evoking them vary so greatly that sometimes, as in considering the history of the Middle Ages, we seem to be concerned with beings from another planet. One of the most powerful of these forces is religion; and, though religion in the abstract is assumed to bring out all that is best in human nature, it has in the past only too frequently appealed to and stimulated its baser elements. The evil is due partly to erroneous religious teaching, but probably still more to the obstinate imperfection of the material on which religion has to work. The vast majority of human beings are even now incapable of appreciating and practising an absolutely pure religion, and probably no such religion has ever yet had a fair trial. Dogmatic systems there have been in abundance, but these are not to be identified with religion. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Watts & Co,,Religious Violence,Religion,Hardback,101388,,Reference,http://books.google.com/books/content?id=BS8bswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
Religion as a Bar to Progress,Religion As a Bar to Progress,Charles T Gorham,Charles T. Gorham,1930,2013-10,,"1258908220, 9781258908225",55,32,,This is a new release of the original 1944 edition.,Watts & Co,,Religion,,Hardback,101390,,Lending,http://books.google.com/books/content?id=KiQnngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
Religion as a Bar to Progress,Religion As a Bar to Progress,Charles T Gorham,Charles T. Gorham,1930,2013-10,,"1258908220, 9781258908225",55,32,,This is a new release of the original 1944 edition.,Watts & Co,,Religion,,Hardback,101392,,Reference,http://books.google.com/books/content?id=KiQnngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
Religion in Radical Transition,Religion in Radical Transition,Jeffrey K Hadden,Jeffrey K. Hadden,1971,1973-01-01,,"1412833019, 9781412833011",166,180,,,Transaction Books,Transaction Publishers,Religion,Social Science,Paperback,101452,,Lending,http://books.google.com/books/content?id=TvSd_C2FwXAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.44,GoogleBooks
Religion in Radical Transition,Religion in Radical Transition,Jeffrey K Hadden,Jeffrey K. Hadden,1971,1973-01-01,,"1412833019, 9781412833011",166,180,,,Transaction Books,Transaction Publishers,Religion,Social Science,Paperback,101459,,Reference,http://books.google.com/books/content?id=TvSd_C2FwXAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.44,GoogleBooks
Christianity and Paradox,Christianity and Paradox,Ronald W Hepburn,Ronald W. Hepburn,1958,1968,,UCAL:B4351679,210,232,,"""At a time when God-talk fills the air, Professor Ronald Hepburn's cold drafts of common sense will be both satisfying and disturbing to the man of religious imagination. Utilizing an argument which is both transparent and profound, he demonstrates the challenges posed by linguistic philosophy to Christian theology and shows the weakness of much that passes for contemporary theological argument. His plea for a regretful agnosticism will disturb some, and surely occasion the re-examination of the most fundamental premises of the Christian and non-Christian alike.""--Back cover.",Watts & Co,Bobbs-Merrill Company,Christianity / Critique,Religion,Hardback,101533,,Lending,http://books.google.com/books/content?id=E2ayAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
Christianity and Paradox,Christianity and Paradox,Ronald W Hepburn,Ronald W. Hepburn,1958,1968,,UCAL:B4351679,210,232,,"""At a time when God-talk fills the air, Professor Ronald Hepburn's cold drafts of common sense will be both satisfying and disturbing to the man of religious imagination. Utilizing an argument which is both transparent and profound, he demonstrates the challenges posed by linguistic philosophy to Christian theology and shows the weakness of much that passes for contemporary theological argument. His plea for a regretful agnosticism will disturb some, and surely occasion the re-examination of the most fundamental premises of the Christian and non-Christian alike.""--Back cover.",Watts & Co,Bobbs-Merrill Company,Christianity / Critique,Religion,Hardback,103219,,Reference,http://books.google.com/books/content?id=E2ayAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
Man's Place in the Universe,Man's Place in the Universe,Alfred R Wallace,Alfred R. Wallace,1914,2015-03-24,,"1506143407, 9781506143408",283,194,,"""[...]of all grades, including some as high as man or even higher, and that we must, therefore, believe that they are so inhabited. As in the present work I propose to show, that the probabilities and the weight of direct evidence tend to an exactly opposite conclusion, it will be well to pass briefly in review the various writers on the subject, and to give some indication of the arguments they have used and the facts they have set forth. For the earlier upholders of the theory I am indebted to Dr. Whewell, who, in his Dialogue on the Plurality of Worlds-a Supplement to his well-known volume on the subject-refers to all writers of importance known to him. The earliest are the great astronomers Kepler and Huygens, and the learned Bishop Wilkins, who all believed that the moon was or might probably be inhabited; and of these Whewell considers Wilkins to have been by far the most thoughtful and earnest in supporting his views. Then we have Sir Isaac Newton himself who, at considerable length, argued that the sun was probably inhabited. But the first regular work devoted to the subject appears to have been written by M. Fontenelle, Secretary to the Academy of Sciences in Paris, who in 1686 published his Conversations[...]"".",Chapman & Hall,CreateSpace,Cosmology,,Hardback,103878,,Reference,http://books.google.com/books/content?id=FNE8rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.44,GoogleBooks
"The Life, Trial, and Death of Fransisco Ferrer","The Life, Trial, and Death of Francisco Ferrer",William Archer,William Archer,1911,1911,,HARVARD:32044089370589,322,396,,,Chapman & Hall,,Biography,Anarchists,Hardback,100043,,Reference,http://books.google.com/books/content?id=tuoCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.37,GoogleBooks
"T.H. Huxley: Scientist, Humanist and Educator","T.H. Huxley; Scientist, Humanist and Educator",Cyril Bibby,Cyril Bibby,1959,1959,,UCAL:B5022544,330,374,,,Watts,,"Biography / Huxley, Thomas Henry",,Hardback,101361,,Lending,http://books.google.com/books/content?id=y9FOAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.33,GoogleBooks
Man Makes Himself,Man Makes Himself,V Gordon Childe,V. Gordon Childe,1939,1970,,OCLC:923575233,242,244,,,Watts & Co,,Anthropology,,Hardback,100795,,Lending,,98.33,GoogleBooks
Man Makes Himself,Man Makes Himself,V Gordon Childe,V. Gordon Childe,1941,1970,,OCLC:923575233,242,244,,,Watts & Co,,Anthropology,,Hardback,100797,,Reference,,98.33,GoogleBooks
Man Makes Himself,Man Makes Himself,V Gordon Childe,V. Gordon Childe,1965,1970,,OCLC:923575233,,244,,,Watts & Co,,Anthropology,,,100798,,Lending,,98.33,GoogleBooks
What Happened in History,What Happened in History,V Gordon Childe,V. Gordon Childe,1952,1946,,OCLC:1123273590,282,256,,,Penguin,,History,,Paperback,100801,,Reference,,98.33,GoogleBooks
Vita Brevis,Vita Brevis,Jostein Garrder,Jostein Gaarder,1997,2010-11-25,,"9780297864721, 0297864726",,76,,"A playful and inventive work from the bestselling author of SOPHIE'S WORLD. A box of Latin manuscripts comes to light in an Argentine flea market. An apocryphal invention by some 17th or 18th century scolar, or a transcript of what it appears to be - a hitherto unheard of letter to St Augustine to a woman he renounced for chastity? VITA BREVIS is both an entrancing human document and a fascinating insight into the life and philosophy of St.Augustine. Gaarder's interpretation of Floria's letter is as playful, inventive and questioning as SOPHIE'S WORLD.",,Hachette UK,,Fiction,,106124,,Lending,http://books.google.com/books/content?id=szVkBqPHBV0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.33,GoogleBooks
The Solitaire Mystery,The Solitaire Mystery,Jostein Garrder,Jostein Gaarder,1996,2010-07-15,,"9780297864066, 0297864068",,302,,"Twelve-year-old Hans Thomas lives alone with his father, a man who likes to give his son lessons about life and has a penchant for philosophy. Hans Thomas' mother left when he was four (to 'find' herself) and the story begins when father and son set off on a trip to Greece, where she now lives, to try to persuade her to come home. En route, in Switzerland, Hans Thomas is given a magnifying glass by a dwarf at a petrol station, and the next day he finds a tiny book in his bread roll which can only be read with a magnifying glass. How did the book come to be there? Why does the dwarf keep showing up? It is all very perplexing and Hans Thomas has enough to cope with, with the daunting prospect of seeing his mother. Now his journey has turned into an encounter with the unfathomable...or does it all have a logical explanation?",,Hachette UK,,Fiction,,101325,,Lending,http://books.google.com/books/content?id=tFeqWOHsV3oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.33,GoogleBooks
"Head-Hunters: Black, White and Brown",HEAD-HUNTERS,Alfred C Haddon,ALFRED C. HADDON,1932,2018,,"1033321745, 9781033321744",244,0,,,Watts & Co,,Anthropology,,Hardback,101458,,Lending,,98.33,GoogleBooks
"Head-Hunters: Black, White and Brown",HEAD-HUNTERS,Alfred C Haddon,ALFRED C. HADDON,1932,2018,,"1033321745, 9781033321744",244,0,,,Watts & Co,,Anthropology,,Hardback,101453,,Reference,,98.33,GoogleBooks
The Road of Science and the ways to God,The Road of Science and the Ways to God,Stanley L. Jaki,Stanley L.. Jaki,1978,1980,707302285,OCLC:1311056496,,478,,,Scottish Academic Press,,Theology / Science,God,,101744,,Lending,,98.33,GoogleBooks
French: How to speak and write it,French,Joseph Lemaitre,Joseph Lemaître,,2012-10-17,,"9780486120362, 0486120368",,417,,"Probably the most delightful, useful, and comprehensive elementary book available for learning spoken and written French, either with or without a teacher. Working on the principle that a person learns more quickly by example then by rule, Lemaître has assembled colloquial French conversations on a variety of subjects, as well as grammar, vocabulary, and idiom studies. Index.",Odhams Press Limited,Courier Corporation,Language,Foreign Language Study,,101950,,Lending,http://books.google.com/books/content?id=YiPEAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,98.33,GoogleBooks
Thoughts on Natural Philosophy and the Origin of Life,Thoughts on Natural Philosophy and the Origin of Life,A. Biddlecombs,A. Biddlecombe,1890,1909,,OCLC:1085651550,90,78,,,The Walter Scott Publishing Company,,Science / Biology,,Hardback,100507,,Reference,,98.21,GoogleBooks
Decline and Fall of The Roman Empire Vol 2,Decline and Fall of the Roman Empire Vol. 2,Edward Gibbon,Edward Gibbon,1936,2019-03-03,,"1798539144, 9781798539149",804,0,,"This is Volume 2 of The History of the Decline and Fall of the Roman Empire, written by English historian Edward Gibbon and published in six volumes, covering the period of the Roman Empire after Marcus Aurelius, from 180 to 1453, concluding in 1590. They take as their material the behavior and decisions that led to the decay and eventual fall of the Roman Empire in the East and West, offering an explanation for why the Roman Empire fell. This work stands as a major literary achievement of the 18th century because it was adopted as a model for the methodologies of modern historians. This led to Gibbon being called the first modern historian of Ancient Rome.",Frederick Warne & Co,Independently Published,Ancient History,History,Hardback,101346,,Reference,http://books.google.com/books/content?id=Za0A0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.21,GoogleBooks
Decline and Fall of the Roman Empire Vol 4,Decline and Fall of the Roman Empire Vol. 4,Edward Gibbon,Edward Gibbon,1788,2021-02-03,,9798593183651,1118,480,,"This, the fourth volume, covers the period of the Roman Empire after Marcus Aurelius, from just before 180 to 1453 and beyond, concluding in 1590. They take as their material the behaviour and decisions that led to the decay and eventual fall of the Roman Empire in the East and West, offering an explanation for why the Roman Empire fell.","Ward, Lock & Co.",,Ancient History,,Hardback,101348,,Reference,http://books.google.com/books/content?id=UR07zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.21,GoogleBooks
Morale: The Supreme Standard of Life and Conduct,Morale,G Stanley Hall,G. Stanley Hall,1920,2017-09-17,,"1528182022, 9781528182027",377,398,,"Excerpt from Morale: The Supreme Standard of Life and Conduct The first draft of nearly half this present volume was printed in the Psychological Bulletin (vol. XV, N o. This part was somewhat radically revised, and the substance of the volume as it now stands was given in weekly lectures in Clark University during the year 1918-19. I 'hope that this concise survey of these very diverse fields may be considered as a plea for a new and more inclusive standard of the evaluation of not only individuals but of human organizations, and I would fain hope it may be worthy of a place as a textbook in some of our higher institutions of learn ing, perhaps in place of the types of ethics now in use. Our ideals of conscience, honor, and morals generally have not accomplished all we have hoped for. Why not try the standard of Morale here sug gested as more fitting for the conditions of modern life? About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",D. Appleton and Company,Forgotten Books,Morality,Self-Help,Hardback,103224,,Reference,http://books.google.com/books/content?id=JeNcvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.21,GoogleBooks
Holy Horrors,Holy Horrors,James A Haught,James A. Haught,1990,1990,,UCSC:32106014910381,,244,,An illustrated history of religious murder and madness.,Prometheus Books,,Religion / Violence,Fiction,,104599,,Lending,http://books.google.com/books/content?id=hRoSAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.21,GoogleBooks
Dictionary of American Philosophy,Dictionary of American Philosophy,St Elmo Nauman,St. Elmo Nauman,1973,1978,,OCLC:895298657,273,273,,,Philosphical Library,,Philosophy,,Hardback,102452,,Reference,,98.21,GoogleBooks
Pagan Christs,Pagan Christs,J.M. Robertson,J. M. Robertson,1967,2015-06-24,,"1440099707, 9781440099700",171,485,,"Excerpt from Pagan Christs: Studies in Comparative Hierology My purpose in grouping the four ensuing studies is to complement and complete the undertaking of the previous volume, entitled Christianity and Mythology. That was substantially a mythological analysis of the Christian system, introduced by a discussion of mythological principles in that particular connection and in general. The bulk of the present volume is substantially a synthesis of Christian origins, introduced by a discussion of the principles of hierology. Such discussion is still forced on sociology by the special pleaders of the prevailing religion. But the central matter of the book is its attempt to trace and synthesise the real lines of growth of the Christian cultus; and it challenges criticism above all by its theses - (1) that the Gospel story of the Last Supper, Passion, Betrayal, Trial, Crucifixion, and Resurrection, is visibly a transcript of a Mystery Drama, and not originally a narrative; and (2) that that drama is demonstrably (as historic demonstration goes) a symbolic modification of an original rite of human sacrifice, of which it preserves certain verifiable details. That the exact point of historic connection between the early eucharistic rite and the late drama-story has still to be traced, it is needless to remark. Had direct evidence on this head been forthcoming, the problem could not so long have been ignored. But it is here contended that the lines of evolution are established by the details of the record and the institution, in the light of the data of anthropology; and that we have thus at last a scientific basis for a history of Christianity. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",University Books,Forgotten Books,Saviour Gods,Religion,Hardback,102986,,Lending,http://books.google.com/books/content?id=rBSFswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.21,GoogleBooks
Pagan Christs,Pagan Christs,J.M. Robertson,J. M. Robertson,1967,2015-06-24,,"1440099707, 9781440099700",171,485,,"Excerpt from Pagan Christs: Studies in Comparative Hierology My purpose in grouping the four ensuing studies is to complement and complete the undertaking of the previous volume, entitled Christianity and Mythology. That was substantially a mythological analysis of the Christian system, introduced by a discussion of mythological principles in that particular connection and in general. The bulk of the present volume is substantially a synthesis of Christian origins, introduced by a discussion of the principles of hierology. Such discussion is still forced on sociology by the special pleaders of the prevailing religion. But the central matter of the book is its attempt to trace and synthesise the real lines of growth of the Christian cultus; and it challenges criticism above all by its theses - (1) that the Gospel story of the Last Supper, Passion, Betrayal, Trial, Crucifixion, and Resurrection, is visibly a transcript of a Mystery Drama, and not originally a narrative; and (2) that that drama is demonstrably (as historic demonstration goes) a symbolic modification of an original rite of human sacrifice, of which it preserves certain verifiable details. That the exact point of historic connection between the early eucharistic rite and the late drama-story has still to be traced, it is needless to remark. Had direct evidence on this head been forthcoming, the problem could not so long have been ignored. But it is here contended that the lines of evolution are established by the details of the record and the institution, in the light of the data of anthropology; and that we have thus at last a scientific basis for a history of Christianity. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",University Books,Forgotten Books,Saviour Gods,Religion,Hardback,102987,,Lending,http://books.google.com/books/content?id=rBSFswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,98.21,GoogleBooks
